Unnamed: 0,kcat,MW,kcat_MW
R3,6388.523809523808,36793.976900000016,625066.5911106146
R4,6388.523809523808,36793.976900000016,625066.5911106146
R5,6388.523809523808,36793.976900000016,625066.5911106146
R6_num1,49.142130158730154,53147.11970000005,3328.716016409604
R7,3035.3559999999998,61139.648400000224,178726.60190175317
R9,46.38666666666666,63735.68490000022,2620.0706913561303
R10_num1,398.7514018181818,40044.49539999999,35847.74966462569
R11_num1,1406.3732352941174,34586.33970000005,146385.64505450733
R12_num1,398.7514018181818,39878.56180000005,35996.911166075515
R13,0.031,142620.4546000007,0.7824964540535089
R14,0.031,142620.4546000007,0.7824964540535089
R15_num1,76.59988214285714,119375.95460000072,2310.0093870519213
R16,59.075555555555546,39657.23840000002,5362.753650541636
R17,84.6103448275862,70567.07110000016,4316.421762037813
R18_num1,50519.8,26105.049499999986,6966900.407524609
R19_num1,50519.8,26105.049499999986,6966900.407524609
R20_num1,376.91429285714287,295191.07200000016,4596.654787329454
R21_num1,376.91429285714287,295191.07200000016,4596.654787329454
R22_num1,68.05796888893333,127975.06160000057,1914.5033800879125
R23,0.387375,63320.983800000184,22.02350494750203
R24,9.287805555555558,37416.9575,893.6081989028638
R25,2909.330162121364,1824937.4658000062,5739.149302327218
R26_num1,42.53666666666667,69353.78750000036,2207.9832337923754
R27_num1,42.53666666666667,69353.78750000036,2207.9832337923754
R28_num1,5986.0,53445.10480000009,403209.98678254936
R29,46.38666666666666,63735.68490000022,2620.0706913561303
R30,457.7244,93075.00290000069,17704.085830331867
R31_num1,21.31858244197531,53406.408200000085,1437.0353554521755
R32_num1,21.31858244197531,53406.408200000085,1437.0353554521755
R33_num1,21.31858244197531,53406.408200000085,1437.0353554521755
R34_num1,78.25,54104.27800000002,5206.612312616016
R35_num1,526.243422754717,34693.54950000003,54606.01031661461
R36_num1,123.58679238095236,102745.7960000007,4330.225370694734
R37,40.061956521739134,37571.311100000006,3838.6481401832375
R38,1198.0,34809.62470000003,123896.76812574186
R39,1198.0,34809.62470000003,123896.76812574186
R40,67.41973846153846,47562.3665,5103.006354016015
R41_num1,424.1152962962963,73876.4409000003,20667.1443299952
R42_num1,314.2625024555556,56793.678000000065,19920.26311167941
R43_num1,6178.6,54038.832400000036,411610.6698115849
R44,486.27272727272725,54097.47490000005,32359.769497888643
R45,24.021428571428572,65626.64790000017,1317.7138498512684
R46,51.61854166666666,5229717.447600003,35.53284701552638
R47,51.61854166666666,86752.08170000001,2142.0436992234163
R48,51.61854166666666,86752.08170000001,2142.0436992234163
R49,21.253029,63735.68490000022,1200.4406090566658
R50,87.84949363636362,145251.54240000006,2177.313726693404
R51,177.7499122806842,44477.71300000005,14386.97363352433
R52,134.899,59945.162000000135,8101.344358699021
R53_num1,63.17636363636364,34835.46050000002,6528.833143770525
R54,1397.8567692307693,27137.779099999985,185434.64263185678
R55,189.08235294117645,58082.870000000075,11719.401444664056
R56_num1,25.003357142857148,85011.60360000057,1058.8211714934066
R58,1918.8454399999998,29448.432500000006,234574.23698188353
R59_num1,201.31666666666663,92730.46750000039,7815.5542567495095
R60,14.3,28164.81010000001,1827.8127854304255
R61,16.79775,149842.11560000054,403.5707835401103
R62_num1,178.09,35184.90020000005,18221.56653438508
R63,16.79775,149842.11560000054,403.5707835401103
