Entry,Gene Names
G2QHD4,MYCTH_2315513
G2QHE8,MYCTH_2306426
G2QHG9,MYCTH_2306475
G2QHH0,MYCTH_2306477
G2QHK2,MYCTH_2306542
G2QHP5,MYCTH_2315557
G2QHS0,MYCTH_2306697
G2QHT5,MYCTH_2306723
G2QHU7,MYCTH_2309021
G2QHW5,MYCTH_2309057
G2QHZ9,MYCTH_2309135
G2QIB7,MYCTH_70246
G2QJU7,MYCTH_2308449
G2QJZ4,MYCTH_2308548
G2QK08,MYCTH_2315910
G2QK40,MYCTH_70818
G2QK83,MYCTH_2315941
G2QK97,MYCTH_2308771
G2QKC8,MYCTH_2308837
G2QKH6,MYCTH_2308921
G2QKJ6,MYCTH_2135256
G2QKN7,MYCTH_2309764
G2QKQ9,MYCTH_85756
G2QKR0,MYCTH_2309812
G2QKR4,MYCTH_2309819
G2QKT5,MYCTH_2309883
G2QKV7,MYCTH_2309929
G2QL36,MYCTH_74764
G2QL76,MYCTH_2310228
G2QL77,MYCTH_2310232
G2QLA0,MYCTH_2069347
G2QLB3,MYCTH_2310287
G2QLH2,MYCTH_98107
G2QLH8,MYCTH_98099
G2QLT1,MYCTH_2310645
G2QLT4,MYCTH_109817
G2QM56,MYCTH_2310812
G2QM85,MYCTH_2310881
G2QMI9,MYCTH_2311072
G2QMP9,MYCTH_90619
G2QMQ1,MYCTH_2311192
G2QN04,MYCTH_2312579
G2QN34,MYCTH_2312662
G2QN47,MYCTH_2312690
G2QNB2,MYCTH_2312842
G2QNE7,MYCTH_2312908
G2QNS1,MYCTH_2311298
G2QNX5,MYCTH_2313207
G2QNZ4,MYCTH_2311348
G2QP62,MYCTH_2311469
G2QP65,MYCTH_2145425
G2QPC4,MYCTH_2311587
G2QPD0,MYCTH_2311601
G2QPG8,MYCTH_2084531
G2QPH9,MYCTH_2311689
G2QPK2,MYCTH_2311735
G2QPN9,MYCTH_2311811
G2QPQ8,MYCTH_2311855
G2QPT6,MYCTH_2311912
G2QQ47,MYCTH_2312147
G2QQ56,MYCTH_2312181
G2QQC8,MYCTH_84848
G2QQF1,MYCTH_2136117
G2QQG8,MYCTH_104059
G2PZI7,MYCTH_2299739
G2PZJ2,MYCTH_2299749
G2PZM2,MYCTH_2087100
G2PZM9,MYCTH_2299830
G2PZN4,MYCTH_2294008
G2PZP4,MYCTH_2294037
G2PZQ1,MYCTH_2294054
G2PZQ8,MYCTH_2294077
G2PZS1,MYCTH_61659
G2PZS2,MYCTH_75490
G2PZS7,MYCTH_2294104
G2PZS9,MYCTH_2294109
G2PZT1,MYCTH_2294115
G2PZT2,MYCTH_2294116
G2PZT5,MYCTH_2295922
G2PZT6,MYCTH_2295923
G2PZT8,MYCTH_2295926
G2PZU1,MYCTH_2295931
G2PZU4,MYCTH_2295937
G2PZU5,MYCTH_2295939
G2PZU7,MYCTH_2295942
G2PZU8,MYCTH_2295945
G2PZV0,MYCTH_2088290
G2PZV6,MYCTH_2295968
G2PZV8,MYCTH_2295973
G2PZW3,MYCTH_114166
G2PZW5,MYCTH_2295989
G2PZW6,MYCTH_2295992
G2PZX2,MYCTH_2296005
G2PZX3,MYCTH_2296007
G2PZX4,MYCTH_2296009
G2PZX5,MYCTH_2296014
G2PZY6,MYCTH_2296042
G2PZY8,MYCTH_41043
G2PZZ2,MYCTH_40109
G2PZZ3,MYCTH_2050514
G2PZZ7,MYCTH_2297870
G2Q004,MYCTH_2297883
G2Q010,MYCTH_2297894
G2Q014,MYCTH_98264
G2Q018,MYCTH_2297927
G2Q021,MYCTH_2313991
G2Q022,MYCTH_2297938
G2Q023,MYCTH_2297939
G2Q027,MYCTH_113450
G2Q028,MYCTH_2297953
G2Q032,MYCTH_2297964
G2Q033,MYCTH_2132441
G2Q040,MYCTH_113457
G2Q043,MYCTH_59106
G2Q066,MYCTH_2051009
G2Q083,MYCTH_73194
G2Q098,MYCTH_2136371
G2Q0A0,MYCTH_2294137
G2Q0A9,MYCTH_105575
G2Q0B3,MYCTH_2294168
G2Q0B7,MYCTH_2294188
G2Q0B8,MYCTH_2294189
G2Q0C1,MYCTH_2294193
G2Q0C3,MYCTH_2294197
G2Q0C9,MYCTH_2294210
G2Q0D1,MYCTH_2294213
G2Q0D2,MYCTH_2294215
G2Q0D3,MYCTH_2294216
G2Q0D6,MYCTH_2294220
G2Q0D8,MYCTH_2294223
G2Q0E6,MYCTH_2294238
G2Q0F2,MYCTH_2296049
G2Q0F4,MYCTH_2296056
G2Q0G0,MYCTH_2296068
G2Q0G8,MYCTH_2296085
G2Q0G9,MYCTH_2296086
G2Q0H0,MYCTH_2296089
G2Q0H4,MYCTH_2296103
G2Q0H8,MYCTH_2296114
G2Q0I0,MYCTH_2296116
G2Q0I7,MYCTH_2296126
G2Q0I8,MYCTH_2106821
G2Q0K1,MYCTH_2296151
G2Q0K4,MYCTH_2296156
G2Q0K5,MYCTH_74927
G2Q0L4,MYCTH_2298027
G2Q0M0,MYCTH_2298036
G2Q0M8,MYCTH_74969
G2Q0N1,MYCTH_74974
G2Q0N3,MYCTH_39317
G2Q0N4,MYCTH_98318
G2Q0N5,MYCTH_2298064
G2Q0N6,MYCTH_2298071
G2Q0P2,MYCTH_2298086
G2Q0P7,MYCTH_2298096
G2Q0P9,MYCTH_2298100
G2Q0Q2,MYCTH_2314025
G2Q0Q4,MYCTH_2298114
G2Q0Q7,MYCTH_2137429
G2Q0R4,MYCTH_2294249
G2Q0R7,MYCTH_2294253
G2Q0R8,MYCTH_113715
G2Q0S1,MYCTH_105600
G2Q0S2,MYCTH_2294267
G2Q0S3,MYCTH_2294268
G2Q0S5,MYCTH_2073127
G2Q0S7,MYCTH_2055311
G2Q0S9,MYCTH_43671
G2Q0T9,MYCTH_2313301
G2Q0U8,MYCTH_2294321
G2Q0U9,MYCTH_2294324
G2Q0V1,MYCTH_2294330
G2Q0V8,MYCTH_61858
G2Q0W3,MYCTH_2294353
G2Q0W7,MYCTH_2294361
G2Q0W9,MYCTH_2296162
G2Q0X0,MYCTH_2296164
G2Q0X2,MYCTH_2296169
G2Q0X3,MYCTH_2296171
G2Q0X4,MYCTH_2114926
G2Q0Y0,MYCTH_76901
G2Q0Y2,MYCTH_2313651
G2Q0Y4,MYCTH_2296197
G2Q0Y6,MYCTH_2296201
G2Q0Y7,MYCTH_2088454
G2Q0Z3,MYCTH_2296228
