,fluxes,equ,ec-code,kcat_MW,E
R1656_num2,0.0,CPD_16017_c + h2o_c --> ergst_c + h_c + ocdcea_c,3.1.1.13,1002.1527289999999,0.0
R1657_num2,0.0,accoa_c + amet_c + 3.0 h_c + 3.0 malcoa_c + nadph_c --> CPD_18145_c + ahcys_c + 3.0 co2_c + 4.0 coa_c + h2o_c + nadp_c,,100.8320472,0.0
R1659_num2,0.018238391288569394,h2o_c + mi3p__D_c --> inost_c + pi_c,3.1.3.25,1132.514208,1.6104337729041006e-05
R1660_num2,0.0,PHAN_c + 2.0 h2o_c --> nh4_c + pac_c,3.5.5.1,2551.411857,0.0
R1660_num3,0.0,PHAN_c + 2.0 h2o_c --> nh4_c + pac_c,3.5.5.1,4002.11387,0.0
R1661_num2,0.0,h2o_e + sucr_e --> fru_B_e + glc__D_e,"3.2.1.26,3.2.1.48",767.7760109000003,0.0
R1667_num2,0.0,fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + 2.0 h_c + so3_c,"1.14.14.34,1.14.14.5",71.47276576,0.0
R1667_num3,0.0,fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + 2.0 h_c + so3_c,"1.14.14.34,1.14.14.5",131.6355293,0.0
R1669_num2,0.0,h2o_c + paps_c --> aps_c + pi_c,,625.6721381,0.0
R1670_num2,0.0,h2o_m + paps_m --> aps_m + pi_m,,398.186854,0.0
R1671_num2,0.0,dms_c + h_c + nadh_c + o2_c --> ch4s_c + fald_c + h2o_c + nad_c,1.14.13.131,148.2814983,0.0
R1671_num3,0.0,dms_c + h_c + nadh_c + o2_c --> ch4s_c + fald_c + h2o_c + nad_c,1.14.13.131,600.849387,0.0
R1672_num2,0.0,aps_c + pi_c --> adp_c + h_c + so4_c,2.7.7.5,665.9189861000001,0.0
R1672_num3,0.0,aps_c + pi_c --> adp_c + h_c + so4_c,2.7.7.5,2955.579102,0.0
R1674_num2,0.0,ALKANESULFONATES_c + fmnh2_c + o2_c --> aldehyde_c + fmn_c + h2o_c + 2.0 h_c + so3_c,1.14.14.5,90.69182128,0.0
R1674_num3,0.0,ALKANESULFONATES_c + fmnh2_c + o2_c --> aldehyde_c + fmn_c + h2o_c + 2.0 h_c + so3_c,1.14.14.5,162.1333271,0.0
R1677_num2,0.0,acac_m + succoa_m --> aacoa_m + succ_m,2.8.3.5,1531.5430390000001,0.0
R1678_num2,0.0,3oxoadp_m + succoa_m --> oxadpcoa_m + succ_m,2.8.3.5,1688.546425,0.0
R1682_num2,0.0,Lcyst_c + h_c --> co2_c + taur_c,4.1.1.29,736.7901243,0.0
R1686_num2,0.0,akg_c + o2_c + taur_c --> amacald_c + co2_c + h_c + so3_c + succ_c,1.14.11.17,415.0432019,0.0
R1686_num3,0.0,akg_c + o2_c + taur_c --> amacald_c + co2_c + h_c + so3_c + succ_c,1.14.11.17,272.57084269999996,0.0
R1686_num4,0.0,akg_c + o2_c + taur_c --> amacald_c + co2_c + h_c + so3_c + succ_c,1.14.11.17,475.0620195,0.0
R1689_num2,0.0,ACPYR_c + h2o_c --> ac_c + 2.0 h_c + pyr_c,3.7.1.6,,
R1690_num2,0.0,H3MCOA_c + 2.0 h_c + 2.0 nadph_c --> coa_c + mev__R_c + 2.0 nadp_c,1.1.1.34,378.1413361,0.0
R1691_num2,0.07002567260425707,atp_c + mev__R_c --> 5pmev_c + adp_c + h_c,2.7.1.36,599.6698855000002,0.00011677370216093176
R1695_num2,0.02334189086808569,dmpp_c + ipdp_c --> grdp_c + ppi_c,2.5.1.1,190.8707372,0.0001222916158364672
R1696_num2,0.02334189086808569,grdp_c + ipdp_c --> frdp_c + ppi_c,2.5.1.10,164.47394409999995,0.00014191847222860934
R1697_num2,0.0,frdp_c + ipdp_c --> ggdp_c + ppi_c,2.5.1.29,133.53585890000002,0.0
R1703_num2,0.0,4AMPM_c + atp_c --> 2mahmp_c + adp_c,2.7.4.7,796.8082766,0.0
R1704_num2,0.0,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,2.7.1.50,,
R1705_num2,0.0,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,2.5.1.3,537.6810954,0.0
R1706_num2,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",495.57793119999997,0.0
R1706_num3,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",499.23637180000003,0.0
R1706_num4,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",429.4843369,0.0
R1706_num5,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",84.92692595,0.0
