,fluxes,equ,ec-code,kcat_MW,E
R1,9.926297545843909,glc__D_e --> 0.67 BDGLC_e + 0.33 glc__aD_e,,,
R2,0.0,glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c,,,
R3,3.2756781901379406,Glc_aD_c --> BDGLC_c,5.1.3.3,58336.03559,5.615188205726238e-05
R4,0.0,arab__L_c --> BLARAB_c,5.1.3.3,58336.03559,0.0
R5,0.0,fru_B_c --> fru_c,5.1.3.3,42045.89013,0.0
R6_num1,9.926297545853359,BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c,"2.7.1.1,2.7.1.2",101062.86154957894,9.821904301595263e-05
R7,8.92239629915654,g6p_B_c --> f6p_c,5.3.1.9,196075.71050408593,4.550485257056157e-05
R8,0.0,cit_m --> ac_m + oaa_m,4.1.3.6,,
R9,12.556311616270591,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,1200.440609,0.010459752462664807
R10_num1,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,"1.1.1.1,1.1.1.71",2066.7784469999997,0.0
R11_num1,0.0,etoh_c + nadp_c --> acald_c + h_c + nadph_c,"1.1.1.2,1.1.1.71",406.9414145,0.0
R12_num1,0.0,etoh_m + nad_m --> acald_m + h_m + nadh_m,"1.1.1.1,1.1.1.71",5438.521507,0.0
R13,0.0,h_m + nadh_m + q_m --> nad_m + qh2_m,1.6.5.9,798.6445052,0.0
R14,0.0,h_c + nadh_c + q_m --> nad_c + qh2_m,1.6.5.9,798.6445052,0.0
R15_num1,0.0,2.0 ficytC_m + nadph_c --> 2.0 FERO_m + h_c + nadp_c,1.6.2.4,393.40895539999997,0.0
R16,0.0,h_c + nadph_c + q_m --> nadp_c + qh2_m,1.6.99.1,211.5591185,0.0
R17,0.0,fadh2_m + q_m --> fad_m + h_m + qh2_m,1.5.5.1,525.8657703,0.0
R18_num1,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,1.15.1.1,3685.591774,0.0
R19_num1,0.0,2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m,1.15.1.1,3685.591774,0.0
R20_num1,0.0,h_c + nadph_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nadp_c,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",2445.295907,0.0
R21_num1,0.7604812467727006,h_c + nadh_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nad_c,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",2595.304834,0.0002930219359244258
R22_num1,0.3008120008120889,BCCP_c + atp_c + co2_c + h2o_c --> adp_c + carP_c + 2.0 h_c + pi_c,6.3.4.14,556.8120062999999,0.0005402397890285739
R23,0.0,chols_c + h2o_c --> chol_c + h_c + so4_c,3.1.6.6,174.20465349999995,0.0
R24,0.004837870462939431,h2o_c + pap_c --> amp_c + pi_c,"3.1.3.7,3.1.3.97",894.3099235,5.409612859942095e-06
R25,0.333646238823409,0.2619 atp_c + 0.0187 damp_c + 0.01982 dcmp_c + 0.01982 dgmp_c + 0.0187 dtmp_c + 0.1849 h2o_c --> DNA_c + 0.2619 adp_c + 0.2619 pi_c,"2.7.7.7,2.7.7.31,2.7.7.49",1970.6976633466736,0.0001693036151759601
R26_num1,0.0,accoa_m + crn_m --> acrn_m + coa_m,2.3.1.7,1430.499114,0.0
R27_num1,0.0,accoa_c + crn_c --> acrn_c + coa_c,2.3.1.7,1430.499114,0.0
R28_num1,0.0,dhap_c + h2o_c --> dha_c + pi_c,"3.1.3.1,3.1.3.2",1162.294011,0.0
R29,0.0,acald_c + thmpp_c --> 2ahethmpp_c,4.1.1.1,477.04347800000005,0.0
R30,0.0,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,2.7.9.2,101.70971479999999,0.0
R31_num1,0.0,h2o_c + nad_c + ppal_c --> PROP_c + 2.0 h_c + nadh_c,"1.2.1.3,1.2.1.5",1537.459095,0.0
R32_num1,0.0,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,"1.2.1.3,1.2.1.5",1248.25753,0.0
R33_num1,0.0,acald_m + h2o_m + nad_m --> ac_m + 2.0 h_m + nadh_m,"1.2.1.3,1.2.1.5",1248.25753,0.0
R34_num1,0.0,acald_m + h2o_m + nadp_m --> ac_m + 2.0 h_m + nadph_m,"1.2.1.4,1.2.1.5,1.2.1.-",466.4829535,0.0
R35_num1,0.0,h_c + nadh_c + pyr_c --> lac__L_c + nad_c,1.1.1.27,43121.81525,0.0
R36_num1,0.0,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40,1272.1633960000001,0.0
R37,0.0,fdp_B_c + h2o_c --> f6p_c + pi_c,3.1.3.11,968.787134,0.0
R38,0.0,g6p_c --> g6p_A_c,5.1.3.15,3869.592366,0.0
R39,0.0,g6p_A_c --> g6p_B_c,5.1.3.15,3869.592366,0.0
R40,18.128321668305926,2pg_c --> h2o_c + pep_c,4.2.1.11,1742.6545170000006,0.010402705465403455
R41_num1,0.0,ac_m + atp_m + coa_m --> accoa_m + amp_m + ppi_m,6.2.1.1,1696.5778329999994,0.0
R42_num1,0.0,3pg_c --> 2pg_c,"5.4.2.11,5.4.2.12",5606.752885,0.0
R43_num1,0.0,dhap_c --> g3p_c,5.3.1.1,301.1186600000001,0.0
R44,0.0,C15973_m + nad_m --> LIPO_m + h_m + nadh_m,1.8.1.4,8233.893076,0.0
R45,0.0,atp_c + oaa_c --> adp_c + co2_c + pep_c,4.1.1.49,913.2827764,0.0
R46,4.06492498657642,coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m,1.2.4.1,334.54962288050564,0.012150439601686023
R47,0.0,2ahethmpp_m + LIPO_m --> adhlam_m + thmpp_m,1.2.4.1,503.52583070000003,0.0
R48,0.0,h_m + pyr_m + thmpp_m --> 2ahethmpp_m + co2_m,1.2.4.1,246.4559372,0.0
R49,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,,491.4580089,0.0
R50,18.13008999337169,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,"1.2.1.12,1.2.1.59",24759.805924098746,0.0007322387763841741
R51,18.13008999337169,13dpg_c + adp_c --> 3pg_c + atp_c,2.7.2.3,14639.8217,0.0012384092077686773
R52,0.0,R5P_c --> r1p_c,"5.4.2.2,5.4.2.7",8326.522564,0.0
R53_num1,0.0,R5P_c + atp_c --> amp_c + h_c + prpp_c,2.7.6.1,337.5154372,0.0
R54,0.25552032453067997,ru5p__D_c --> xu5p__D_c,5.1.3.1,941860.4192264208,2.712931972877114e-07
R55,0.5277176785431146,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,"1.1.1.49,1.1.1.363",495843.2666980815,1.0642832402611637e-06
R56_num1,0.0,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,"1.1.1.44,1.1.1.351",2034.067669,0.0
R58,0.0,R5P_c --> ru5p__D_c,5.3.1.6,20876.3731,0.0
R59_num1,0.0,pi_c + xu5p__D_c --> actp_c + g3p_c + h2o_c,4.1.2.9,306.8433602,0.0
R60,0.5277176785431146,6pgl_c + h2o_c --> 6pgc_c + h_c,3.1.1.31,2017.1196109999998,0.0002616194278541049
R61,0.17136772567955955,R5P_c + xu5p__D_c --> g3p_c + s7p_c,"2.2.1.1,2.2.1.3",390.6007317,0.00043872863456686546
R62_num1,0.17136772567955955,g3p_c + s7p_c --> e4p_c + f6p_c,2.2.1.2,5551.9220369999975,3.086637826278965e-05
R63,0.0,fald_c + xu5p__D_c --> dha_c + g3p_c,"2.2.1.1,2.2.1.3",414.562521,0.0
R64,0.0,atp_c + rib__D_c --> R5P_c + adp_c + h_c,2.7.1.15,318.6446423999999,0.0
R65_num1,0.0,BDGLC_c + nad_c --> g15lac_c + h_c + nadh_c,1.1.1.47,3614.8328770000003,0.0
R66_num1,0.0,BDGLC_c + nadp_c --> g15lac_c + h_c + nadph_c,"1.1.1.119,1.1.1.359,1.1.1.360",3614.8328770000003,0.0
R67,0.0,atp_c + glcn__D_c --> 6pgc_c + adp_c + h_c,2.7.1.12,1534.650003,0.0
R68_num1,0.0,glcn__D_c --> 2ddglcn_c + h2o_c,,416.1376274,0.0
R69,0.0,2dr5p_c --> acald_c + g3p_c,4.1.2.4,,
R70,0.0,g15lac_c + h2o_c --> glcn__D_c + h_c,3.1.1.17,2150.334241,0.0
R71,0.0,P_BENZOQUINONE_c + glc__D_c --> g15lac_c + hqn_c,1.1.5.9,1824.868875,0.0
R72,0.0,g6p_B_c + nad_c --> 6pgl_c + h_c + nadh_c,"1.1.1.363,1.1.1.388",10824.036,0.0
R73,0.0,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,2.7.1.229,,
R74,0.3822074806427711,g1p_c + h_c + utp_c --> ppi_c + udpg_c,"2.7.7.9,2.7.7.64",1156.777194,0.0003304071714287022
R75_num1,0.0,IDOL_c + nad_c --> h_c + nadh_c + srb__L_c,1.1.1.14,11926.53513,0.0
R76,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,1.1.1.22,871.1430146,0.0
R77,0.0,galur_c + h_c + nadph_c --> galctn__L_c + nadp_c,"1.1.1.365,1.1.1.-",677.7954864,0.0
R78_num1,0.0,CPD_654_c + h2o_c + nadp_c --> akg_c + 2.0 h_c + nadph_c,1.2.1.26,1537.459095,0.0
R79_num1,0.0,arab__L_c + h_c + nadph_c --> abt_c + nadp_c,1.1.1.21,696.0235194,0.0
R80_num1,0.0,abt_c + nad_c --> h_c + nadh_c + xylu__L_c,1.1.1.12,13422.948869999998,0.0
R81_num1,0.0,h_c + nadph_c + xylu__L_c --> nadp_c + xylt_c,1.1.1.10,264.5890652,0.0
R82_num1,0.0,h_c + nadph_c + xyl__D_c --> nadp_c + xylt_c,"1.1.1.21,1.1.1.307",636.5589649,0.0
R83_num1,0.0,nadp_c + xylt_c --> h_c + nadph_c + xylu__D_c,1.1.1.10,323.7742118000001,0.0
R84_num1,0.0,nad_c + xylt_c --> h_c + nadh_c + xylu__D_c,"1.1.1.9,1.1.1.14",655.2193784,0.0
R85,0.0,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,2.7.1.17,2181.656643,0.0
R86,0.0,nad_c + rbt_c --> h_c + nadh_c + rbl__D_c,1.1.1.56,684.5137252000002,0.0
R87,0.010266294768596295,nadp_c + rbt_c --> h_c + nadph_c + rbl__D_c,1.1.1.56,577.1952802000002,1.7786518914428732e-05
R88,0.0,atp_c + rbl__D_c --> adp_c + h_c + ru5p__D_c,"2.7.1.16,2.7.1.47",709.8193987000003,0.0
R89_num1,0.0,PECTIN_e + h2o_e --> PECTATE_e + meoh_e,3.1.1.11,5381.638073,0.0
R90,0.0,PECTATE_e + h2o_e --> galur_e + h_e,,1874.0494989999997,0.0
R91,0.0,PECTATE_e + h2o_e --> DIGALUR_e + 2.0 h_e,,1874.049513,0.0
R92,0.0,DIGALUR_e + h2o_e --> 2.0 galur_e,3.2.1.67,1874.049513,0.0
R93,0.0,galur_c + h_c + nadh_c --> galctn__L_c + nad_c,1.1.1.-,,
R94_num1,0.0,galctn__L_c --> 2DH3DGAL_c + h2o_c,4.2.1.146,,
R95_num1,0.0,2DH3DGAL_c --> Lglyald_c + pyr_c,4.1.2.54,949.1678667000001,0.0
R96,0.0,Lglyald_c + h_c + nadph_c --> glyc_c + nadp_c,1.1.1.372,1096.345708,0.0
R97_num1,0.0,abt__D_c + nad_c --> h_c + nadh_c + rbl__D_c,1.1.1.250,5450.394931,0.0
R98_num1,0.0,3.0 h_c + 2.0 nadh_c + udpgalur_c --> h2o_c + 2.0 nad_c + udpgal_c,,432.28387069999997,0.0
R99_num1,0.0,abt_c + nad_c --> arab__L_c + h_c + nadh_c,1.1.1.21,675.0176643,0.0
R101_num1,0.0,2ddglcn_m + nad_m --> CPD_343_m + h_m + nadh_m,1.1.1.127,6203.389837,0.0
R102,0.0,h2o_c + xylnact__D_c --> D_XYLONATE_c + h_c,,2415.804538,0.0
R103,0.0,D_XYLOPYRANOSE_c + nadp_c --> h_c + nadph_c + xylnact__D_c,1.1.1.179,779.2147941000003,0.0
R104,3.705665928003156,mal__L_m + nad_m --> h_m + nadh_m + oaa_m,"1.1.1.37,1.1.1.299",6211851.429802997,5.965477394105476e-07
R105,0.0,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,"1.1.1.37,1.1.1.299",990.2088322000001,0.0
R106,0.0,mal__L_x + nad_x --> h_x + nadh_x + oaa_x,1.1.1.37,39654.41899,0.0
R107,0.0,atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c,6.4.1.1,493.87179979999996,0.0
R108,0.7394651637979015,atp_m + co2_m + h2o_m + pyr_m --> adp_m + 2.0 h_m + oaa_m + pi_m,6.4.1.1,2664.249656089465,0.0002775510028152821
R109,2.7202751262620994,fum_m + h2o_m --> mal__L_m,4.2.1.2,4862.098062,0.0005594858621882932
R110,0.0,mal__L_c --> fum_c + h2o_c,4.2.1.2,347.0083105,0.0
R111,2.5961035403318906,q_m + succ_m --> fum_m + qh2_m,1.3.5.1,25354.33779810692,0.00010239287497880258
R112,1.9519930969672128,adp_m + pi_m + succoa_m --> atp_m + coa_m + succ_m,6.2.1.5,411.2931542,0.004745989757023806
R113,0.0,gdp_m + pi_m + succoa_m --> coa_m + gtp_m + succ_m,6.2.1.4,411.2931542,0.0
R114_num1,0.0,accoa_m + h2o_m + oaa_m --> cit_m + coa_m + h_m,"2.3.3.1,2.3.3.3,2.3.3.16",1951.841068,0.0
R115,0.6790858036431041,atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c,2.3.3.8,,
R116,0.0,atp_m + cit_m + coa_m --> accoa_m + adp_m + oaa_m + pi_m,2.3.3.8,,
R117_num1,1.9755485214281454,icit_m + nad_m --> akg_m + co2_m + nadh_m,"1.1.1.41,1.1.1.286",3709.1029375480703,0.0005326216486011295
R118,1.9519930969672128,akg_m + coa_m + nad_m --> co2_m + nadh_m + succoa_m,1.2.4.2,780.237146220651,0.002501794622855843
R119_num1,0.0,fum_c + h_c + nadh_c --> nad_c + succ_c,1.3.1.6,1586.792809,0.0
R121,0.0,akg_m + 2.0 h_m + thmpp_m --> HC01435_m + co2_m,1.2.4.2,134.6060387,0.0
R122,0.0,coa_m + itp_m + succ_m --> idp_m + pi_m + succoa_m,,1182.431699,0.0
R124,0.0,HC01434_m + h_m --> akg_m + co2_m,,1360.649841,0.0
R125,0.0,THREO_DS_ISO_CITRATE_m + nadp_m --> HC01434_m + h_m + nadph_m,,1320.741723,0.0
R126,0.0,C16254_m + coa_m --> C15973_m + succoa_m,2.3.1.61,,
R127,0.0,HC01435_m + LIPO_m --> C16254_m + thmpp_m,1.2.4.2,429.80722710000015,0.0
R128,0.6217845052938095,ala__L_c + glx_c --> gly_c + pyr_c,2.6.1.44,1999.3818410000001,0.00031098837277766865
R129,0.0,asp__D_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,"1.4.3.15,1.4.3.1",2722.215054,0.0
R130_num1,0.0,C12270_c + h2o_c --> Nacasp_c + glu__L_c + 3.0 h_c,3.4.17.21,136.2529299,0.0
R131_num1,0.0,C20776_c + h2o_c --> C12270_c + glu__L_c + h_c,3.4.17.21,206.70162019999998,0.0
R132,0.0,2_OXOSUCCINAMATE_m + h2o_m --> nh4_m + oaa_m,,2551.411857,0.0
R133_num1,0.0,HC00591_m + h2o_m --> akg_m + nh4_m,3.5.1.111,2476.578387,0.0
R134_num1,0.12618665306626314,f6p_c + gln__L_c --> gam6p_c + glu__L_c,2.6.1.16,700.2376406000003,0.00018020546990038953
R135,0.0,1pyr5c_m + 2.0 h2o_m + nad_m --> glu__L_m + h_m + nadh_m,1.2.1.88,329.05075239999996,0.0
R136,0.0,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c,1.2.1.88,329.05075239999996,0.0
R137,0.0,1pyr5c_c + 2.0 h2o_c + nadp_c --> glu__L_c + h_c + nadph_c,1.2.1.88,283.5441816,0.0
R138,0.0,C110COA_m + fad_m + h_m --> C11DCOA_m + fadh2_m,"1.3.99.13,1.3.99.3",,
R139_num1,0.0,glu__L_m + h_m --> 4abut_m + co2_m,4.1.1.15,60.85682175,0.0
R140,0.0,4abut_m + akg_m --> glu__L_m + sucsal_m,2.6.1.19,1154.39058,0.0
R141,0.0,4abut_c + pyr_c --> ala__L_c + sucsal_c,2.6.1.96,216.881423,0.0
R142_num1,0.0,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,"6.3.1.1,6.3.5.4",99.50642046,0.0
R143,0.0,asn__L_c + h2o_c --> asp__L_c + nh4_c,"3.5.1.1,3.5.1.38,3.5.5.4",4747.598666,0.0
R144,0.07153375360373888,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,6.3.1.1,,
R145,1.447856318601485,akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c,1.4.1.14,897.497568,0.0016132147542504372
R146_num1,0.0,h2o_m + nad_m + sucsal_m --> 2.0 h_m + nadh_m + succ_m,"1.2.1.16,1.2.1.24",1364.864863,0.0
R147,0.0,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,1.2.1.79,1548.374409,0.0
R148_num1,0.0,XYLAN_e + h2o_e --> xyl__D_e,,6737.276965000001,0.0
R149,0.0,gam6p_c + h2o_c --> f6p_c + nh4_c,3.5.99.6,11238.60045,0.0
R150,0.0,acgam6p_c + h2o_c --> ac_c + gam6p_c,3.5.1.25,2173.620958,0.0
R151,0.12618665306626314,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,2.7.7.23,1393.751116,9.053743643155809e-05
R152_num1,0.0,uacgam_c --> chtn_c + udp_c,,151.75066040000004,0.0
R153_num1,0.0,chtn_c + h2o_c --> acgam_c,,2599.083279,0.0
R154_num1,0.0,acgam_c + h2o_c --> ac_c + gam_c,3.5.1.33,,
R155_num1,0.0,atp_c + gam_c --> adp_c + gam6p_c + h_c,"2.7.1.1,2.7.1.8",1422.788976,0.0
R156,0.0,3.0 chtn_c + 4.0 h2o_c --> CHITO_c + 3.0 ac_c + 3.0 h_c,3.5.1.41,1943.5236519999999,0.0
R157,0.0,GLUA_c + h2o_c + h_c --> gam_c,3.2.1.165,820.9719682,0.0
R158_num1,0.0,uacgam_c --> udpacgal_c,"5.1.3.2,5.1.3.7",2674.234177,0.0
R159,0.12618665306626314,acgam6p_c --> acgam1p_c,5.4.2.3,451.65561660000003,0.00027938687891490983
R160_num1,0.0,udpg_c --> CPD_663_c + h2o_c,4.2.1.76,6439.872262,0.0
R161_num1,0.0,CPD_11540_c + h_c + nadph_c --> nadp_c + udprmn_c,,1010.0584650000001,0.0
R162_num1,0.0,CPD_663_c + 2.0 h_c --> C17328_c,"1.1.1.-,5.1.3.-",,
R163_num1,0.0,2.0 ficytb5_m + nadh_m --> 2.0 focytb5_m + h_m + nad_m,1.6.2.2,10939.97423,0.0
R164_num1,0.0,3.0 ARABIN_e --> arab__L_e + 3.0 h2o_e,,1729.930784,0.0
R165_num1,0.0,TRNA_c + ala__L_c + atp_c --> TRNAALA_c + amp_c + ppi_c,6.1.1.7,628.2565102000002,0.0
R166_num1,0.0,TRNA_c + asp__L_c + atp_c --> TRNAASP_c + amp_c + ppi_c,"6.1.1.12,6.1.1.23",253.49017149999997,0.0
R167_num1,0.0,TRNA_m + asp__L_m + atp_m --> TRNAASP_m + amp_m + ppi_m,"6.1.1.12,6.1.1.23",253.49017149999997,0.0
R168_num1,0.0,TRNA_m + asn__L_m + atp_m --> TRNAASN_m + amp_m + ppi_m,6.1.1.22,521.4734029,0.0
R169_num1,0.07153375360373888,TRNA_c + asn__L_c + atp_c --> TRNAASN_c + amp_c + ppi_c,6.1.1.22,521.4734029,0.00013717622644976297
R170_num1,0.0,TRNAASP_c + asn__L_c + atp_c + h2o_c --> TRNAASN_c + adp_c + asp__L_c + h_c + pi_c,6.3.5.6,2569.93168,0.0
R171,0.09035140147337915,TRNA_c + arg__L_c + atp_c --> TRNAARG_c + amp_c + ppi_c,6.1.1.19,706.1352011,0.0001279519861531219
R172_num1,0.0,TRNA_c + atp_c + pro__L_c --> TRNAPRO_c + amp_c + ppi_c,6.1.1.15,1405.029112,0.0
R173,0.0017683250657640676,TRNA_c + atp_c + cys__L_c --> TRNACYS_c + amp_c + ppi_c,6.1.1.16,517.3753361,3.41787662143655e-06
R174_num1,0.0,TRNA_c + atp_c + gln__L_c --> TRNAGLN_c + amp_c + ppi_c,6.1.1.18,461.3873821,0.0
R175_num1,0.0,TRNA_m + atp_m + gln__L_m --> TRNAGLN_m + amp_m + ppi_m,6.1.1.18,461.3873821,0.0
R176_num1,0.0,TRNAGLU_c + atp_c + gln__L_c + h2o_c --> TRNAGLN_c + adp_c + glu__L_c + h_c + pi_c,6.3.5.7,2569.93168,0.0
R177_num1,0.0,TRNA_c + atp_c + ser__L_c --> TRNASER_c + amp_c + ppi_c,6.1.1.11,703.7023132999999,0.0
R178,0.10633305631302044,TRNA_c + atp_c + gly_c --> TRNAGLY_c + amp_c + ppi_c,6.1.1.14,1458.63878,7.289882716063565e-05
R179_num1,0.0,TRNA_m + atp_m + thr__L_m --> TRNATHR_m + amp_m + ppi_m,6.1.1.3,728.2278471,0.0
R180_num1,0.0,TRNA_c + atp_c + thr__L_c --> TRNATHR_c + amp_c + ppi_c,6.1.1.3,728.2278471,0.0
R181,0.024556363177402903,TRNA_c + atp_c + his__L_c --> TRNAHIS_c + amp_c + ppi_c,6.1.1.21,1252.487148,1.9606079963866347e-05
R182_num1,0.06709625862738755,TRNA_c + atp_c + ile__L_c --> TRNAILE_c + amp_c + ppi_c,6.1.1.5,1261.52333,5.318669661653229e-05
R183_num1,0.0,TRNA_m + atp_m + ile__L_m --> TRNAILE_m + amp_m + ppi_m,6.1.1.5,1261.52333,0.0
R184_num1,0.0,TRNA_c + atp_c + val__L_c --> TRNAVAL_c + amp_c + ppi_c,6.1.1.9,177.1991102,0.0
R185_num1,0.1330581200427755,TRNA_c + atp_c + leu__L_c --> TRNALEU_c + amp_c + ppi_c,6.1.1.4,573.5933923,0.00023197289548479254
R186_num1,0.10800128750713749,TRNA_c + atp_c + lys__L_c --> TRNALYS_c + amp_c + ppi_c,6.1.1.6,518.8992743,0.0002081353604759464
R187_num1,0.0,TRNA_c + atp_c + met__L_c --> TRNAMET_c + amp_c + ppi_c,6.1.1.10,924.8753792000001,0.0
R188_num1,0.0,TRNA_m + atp_m + met__L_m --> TRNAMET_m + amp_m + ppi_m,6.1.1.10,924.8753792000001,0.0
R189_num1,0.007840686612350111,TRNA_c + atp_c + tyr__L_c --> TRNATYR_c + amp_c + ppi_c,6.1.1.1,501.07780139999994,1.564764312137439e-05
R190_num1,0.0,TRNA_m + atp_m + tyr__L_m --> TRNATYR_m + amp_m + ppi_m,6.1.1.1,501.07780139999994,0.0
R191_num1,0.0,TRNA_c + atp_c + trp__L_c --> TRNATRP_c + amp_c + ppi_c,6.1.1.2,279.6888128,0.0
R192,0.05778752856421444,TRNA_c + atp_c + phe__L_c --> TRNAPHE_c + amp_c + ppi_c,6.1.1.20,170.5769689,0.00033877685209714403
R193_num1,0.0,TRNA_m + atp_m + trp__L_m --> TRNATRP_m + amp_m + ppi_m,6.1.1.2,279.6888128,0.0
R194,0.0,g3p_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,2.5.1.72,,
R195,0.0,h2o_c + nad_c + vanln_c --> 2.0 h_c + nadh_c + vanlt_c,1.2.1.67,1594.316315,0.0
R196_num1,0.0,BN_c + 2.0 h2o_c --> bz_c + nh4_c,3.5.5.1,2400.934503,0.0
R197_num1,0.0,BFOR_c + h_c --> bzal_c + co2_c,,2401.93406,0.0
R198_num1,0.0,HC01104_e + h2o_e --> 4NP_e + h_e + pi_e,"3.1.3.1,3.1.3.2,3.1.3.41",1519.400849,0.0
R199_num1,0.0,PHL_c + h_c + nadph_c + o2_c --> catechol_c + h2o_c + nadp_c,1.14.13.7,751.7248655000003,0.0
R200,0.0,anth_c + 2.0 h_c + nadph_c + o2_c --> 23dhb_c + nadp_c + nh4_c,1.14.13.35,4078.496845,0.0
R201,0.0,C06206_m + h2o_m --> bz_m + 3.0 h_c + pi_m,3.6.1.7,14821.33328,0.0
R202_num1,0.0,CPD_17683_m + h2o_m --> bz_m + nh4_m,3.5.1.4,1345.30037,0.0
R203,0.0,CPD_17683_c + h2o_c --> bz_c + nh4_c,3.5.1.4,2857.619514,0.0
R204,0.0,P_NITROPHENOL_m + h_m + nadph_m + o2_m --> P_BENZOQUINONE_m + h2o_m + nadp_m + no2_m,1.14.13.167,,
R205,0.0,accoa_c + 2.0 amet_c + 3.0 malcoa_c --> CPD_17316_c + 2.0 ahcys_c + 3.0 co2_c + 4.0 coa_c,,445.3131245,0.0
R206_num1,0.0,TESTOSTERONE_x + h_x + nadph_x --> 17_BETA_HYDROXY_5ALPHA_ANDROSTAN_3_O_x + nadp_x,1.3.1.22,,
R207,0.0,ARACHIDONIC_ACID_c + C03024_c + o2_c --> C03161_c + C14748_c + h2o_c,1.14.14.80,56.86316333,0.0
R208,0.0,ARACHIDONIC_ACID_c + C03024_c + o2_c --> C03161_c + C14749_c + h2o_c,"1.14.13.-,1.14.14.1,1.14.14.80,1.14.14.-",56.86316333,0.0
R209,0.0,ARACHIDONIC_ACID_m + o2_m --> 6E8Z11Z14Z_5S_5_HYDROPEROXYCOSA_6_m,,532.0987635,0.0
R210,0.07750602127867791,akg_c + orn__L_c --> glu5sa_c + glu__L_c,2.6.1.13,299.1276058,0.0002591068820659076
R211_num1,0.0,4gudbd_c + h2o_c --> 4gudbutn_c + nh4_c,3.5.1.4,1262.842036,0.0
R212,0.0,glu5sa_m + h2o_m + nadp_m --> glu__L_m + 2.0 h_m + nadph_m,1.2.1.88,283.5441816,0.0
R213,0.0,glu5sa_c + h2o_c + nad_c --> glu__L_c + 2.0 h_c + nadh_c,1.2.1.88,338.9934561,0.0
R214,0.07750602127867791,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,2.6.1.13,335.7042536,0.00023087589879343103
R215_num1,0.07750602127867791,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,1.5.1.2,9992.503826,7.756416472617311e-06
R216_num1,0.0,nad_m + pro__L_m --> 1pyr5c_m + 2.0 h_m + nadh_m,1.5.1.2,9414.93571,0.0
R217,0.0,1p3h5c_m + 2.0 h2o_m + nad_m --> e4hglu_m + h_m + nadh_m,,329.6320517,0.0
R218,0.0,D_4_HYDROXY_2_KETO_GLUTARATE_c --> glx_c + pyr_c,4.1.3.16,949.1678667000001,0.0
R219,0.0,HC00576_c + h2o_c --> 4abut_c + his__L_c,"3.4.13.18,3.4.13.20",889.2991648,0.0
R220_num1,0.0,akg_c + e4hglu_c --> D_4_HYDROXY_2_KETO_GLUTARATE_c + glu__L_c,"2.6.1.1,2.6.1.23",8650.06093,0.0
R221,0.0,2.0 arg__L_c + 2.0 h_c + 2.0 nadph_c + 2.0 o2_c --> 2.0 CPD_13518_c + 2.0 h2o_c + 2.0 nadp_c,,421.0352091,0.0
R222,0.0,2.0 CPD_13518_c + nadph_c + 2.0 o2_c --> 2.0 citr__L_c + 2.0 h2o_c + h_c + nadp_c + 2.0 no_c,,421.0352091,0.0
R223_num1,0.0,4abutn_c + h2o_c + nadp_c --> 4abut_c + 2.0 h_c + nadph_c,,1117.124053,0.0
R224_num1,0.0,akg_m + o2_m + pro__L_m --> 4hpro_LT_m + co2_m + succ_m,1.14.11.57,,
