Unnamed: 0,kcat,MW,kcat_MW
R3,596.2263184,36793.9769,58336.03559
R4,596.2263184,36793.9769,58336.03559
R5,429.73208619999997,36793.9769,42045.89013
R6_num1,22.96694183,53147.1197,1555.70031
R7,299.88827510000004,61139.6484,17657.89989
R9,21.253029,63735.6849,1200.440609
R10_num1,22.98975,40044.4954,2066.7784469999997
R11_num1,3.909615,34586.3397,406.9414145
R12_num1,60.24456,39878.5618,5438.521507
R13,31.639734000000004,142620.4546,798.6445052
R14,31.639734000000004,142620.4546,798.6445052
R15_num1,13.045436,119375.9546,393.40895539999997
R16,2.330514,39657.2384,211.5591185
R17,10.308002,70567.0711,525.8657703
R18_num1,26.72570992,26105.0495,3685.591774
R19_num1,26.72570992,26105.0495,3685.591774
R20_num1,200.5082,295191.072,2445.295907
R21_num1,212.80856,295191.072,2595.304834
R22_num1,19.793903,127975.0616,556.8120062999999
R23,3.0641138999999997,63320.9838,174.20465349999998
R24,9.295099,37416.9575,894.3099235
R25,999.0,1824937.466,1970.6976633466738
R26_num1,27.558481,69353.7875,1430.499114
R27_num1,27.558481,69353.7875,1430.499114
R28_num1,17.255257,53445.1048,1162.294011
R29,8.445748,63735.6849,477.04347800000005
R30,2.62962,93075.0029,101.70971479999999
R31_num1,22.80838,53406.4082,1537.459095
R32_num1,18.518042,53406.4082,1248.25753
R33_num1,18.518042,53406.4082,1248.25753
R34_num1,7.0107565,54104.278,466.4829535
R35_num1,415.56912,34693.5495,43121.81525
R36_num1,36.308178000000005,102745.796,1272.1633960000001
R37,10.110723,37571.3111,968.787134
R38,37.416405,34809.6247,3869.592366
R39,37.416405,34809.6247,3869.592366
R40,23.023548,47562.3665,1742.6545170000002
R41_num1,34.815870000000004,73876.4409,1696.5778329999998
R42_num1,88.45225500000001,56793.678,5606.752885
R43_num1,4.520028,54038.8324,301.11866000000003
R44,123.73133999999999,54097.4749,8233.893076
R45,16.648802,65626.6479,913.2827764
R46,17.56493,5229717.448,12.09123602
R47,12.133865,86752.0817,503.52583070000003
R48,5.939046,86752.0817,246.4559372
R49,8.700948,63735.6849,491.4580089
R50,999.0,145251.5424,24759.805924098742
R51,180.87383,44477.712999999996,14639.8217
R52,138.64854,59945.162000000004,8326.522564
R53_num1,3.2659738,34835.4605,337.5154372
R54,12.07201,27137.7791,1601.4293519999999
R55,150.48471,58082.87,9327.103774
R56_num1,48.033153999999996,85011.6036,2034.067669
R58,170.77123999999998,29448.4325,20876.3731
R59_num1,7.903813400000001,92730.4675,306.8433602
R60,15.781053,28164.8101,2017.1196109999998
R61,16.2579,149842.1156,390.6007317
R62_num1,54.262173,35184.9002,5551.922036999999
R63,17.255257,149842.1156,414.562521
R64,3.3562696000000005,37918.6371,318.64464239999995
R65_num1,28.376540000000002,28260.1015,3614.8328770000003
R66_num1,28.376540000000002,28260.1015,3614.8328770000003
R67,10.228829,23994.9072,1534.650003
R68_num1,5.908769,51116.6667,416.1376274
R70,20.078682,33614.8929,2150.334241
R71,33.245166999999995,65584.2197,1824.868875
R72,174.63641,58082.87,10824.036
R74,18.709578,58225.9757,1156.777194
R75_num1,133.31152,40239.807,11926.53513
R76,7.4696174,30868.2067,871.1430146
R77,8.700948,46213.6639,677.7954864
R78_num1,22.80838,53406.4082,1537.459095
R79_num1,6.6869183,34586.3397,696.0235194
R80_num1,150.03802,40239.807,13422.948869999998
R81_num1,2.3189054000000002,31551.0372,264.5890652
R82_num1,6.1156235,34586.3397,636.5589649
R83_num1,2.8376145,31551.0372,323.77421180000005
R84_num1,6.2949,34586.3397,655.2193784
R85,38.511906,63549.35,2181.656643
R86,5.605695,29481.5155,684.5137252000001
R87,4.726831,29481.5155,577.1952802000001
R88,37.421036,189788.7404,709.8193987000001
R89_num1,53.324238,35670.7854,5381.638073
R90,26.538829800000002,50980.3969,1874.0494989999997
R91,26.538829999999997,50980.3969,1874.049513
R92,26.538829999999997,50980.3969,1874.049513
R95_num1,11.181727,42410.0084,949.1678667000001
R96,10.147159,33319.5744,1096.345708
R97_num1,52.369125,34589.943,5450.394931
R98_num1,4.1530879999999994,34586.3397,432.28387069999997
R99_num1,6.4851084000000006,34586.3397,675.0176643
R101_num1,30.44455,17667.8208,6203.389837
R102,22.557503,33614.8929,2415.804538
R103,9.280239,42875.0335,779.2147941000001
R104,770.7847,70471.7434,39375.00034
R105,10.402486999999999,37819.2478,990.2088322000001
R106,757.5835599999999,68776.7186,39654.41899
R107,17.556465,127975.0616,493.87179979999996
R108,4.172487,81073.4833,185.2757842
R109,77.9312,57701.9049,4862.098062
R110,4.955376,51409.0097,347.0083105
R111,8.132019999999999,141845.5504,206.3883704
R112,18.961103,165964.2766,411.2931542
R113,18.961103,165964.2766,411.2931542
R114_num1,28.484207,52536.6265,1951.841068
R117_num1,37.74522,165970.05,818.7187508
R118,31.945691999999998,4609367.828,24.95016572
R119_num1,29.305359999999997,66485.8672,1586.792809
R121,4.39677,117590.3559,134.6060387
R122,27.255753000000002,82982.1383,1182.431699
R124,19.816442000000002,52430.2352,1360.649841
R125,19.235222,52430.2352,1320.741723
R127,14.039218,117590.3559,429.8072271000001
R128,27.559162,49621.8287,1999.3818410000001
R129,29.874706,39507.8785,2722.215054
R130_num1,3.4320614000000003,90680.0393,136.2529299
R131_num1,5.2065864,90680.0393,206.70162019999998
R132,24.998108,35271.9176,2551.411857
R133_num1,24.264908,35271.9176,2476.578387
R134_num1,4.0126147,20629.3008,700.2376406000001
R135,5.889863,64438.4085,329.05075239999996
R136,5.889863,64438.4085,329.05075239999996
