Unnamed: 0,kcat,MW,kcat_MW
R2282_num3,15.931247,57873.4025,990.9990898
R2282_num4,15.418358,53115.7786,1045.001886
R2282_num5,14.010107,57970.514,870.0351561000001
R2284_num2,26.217117,61388.7739,1537.441053
R2285_num2,29.55751,60713.32700000001,1752.61415
R2286_num2,20.060013,69732.1598,1035.620394
R2286_num3,9.604728,71680.8445,482.3746294
R2286_num4,16.749157,63154.263,954.7568499
R2286_num5,14.432797,51291.3578,1012.998513
R2287_num2,20.661272,56956.0025,1305.930472
R2287_num3,29.55751,60713.32700000001,1752.61415
R2287_num4,23.00769,133962.1536,618.2916725
R2287_num5,26.217117,61388.7739,1537.441053
R2287_num6,9.604728,71680.8445,482.3746294
R2287_num7,20.024601,77287.8902,932.7277975
R2287_num8,6.8815928,40021.0568,619.0174887999998
R2287_num9,35.152966,50622.1637,2499.90653
R2287_num10,16.749157,63154.263,954.7568499
R2288_num2,13.611628,58537.1191,837.1074892999999
R2288_num3,25.103369,58315.081,1549.72139
R2289_num2,20.060013,69732.1598,1035.620394
R2289_num3,9.604728,71680.8445,482.3746294
R2289_num4,16.749157,63154.263,954.7568499
R2289_num5,14.432797,51291.3578,1012.998513
R2290_num2,8.52613,59363.6565,517.0515061000001
R2290_num3,9.604728,71680.8445,482.3746294
R2290_num4,14.868904999999998,63484.0593,843.1732089999998
R2290_num5,16.749157,63154.263,954.7568499
R2291_num2,15.931247,57873.4025,990.9990898
R2291_num3,9.604728,71680.8445,482.3746294
R2291_num4,14.010107,57970.514,870.0351561000001
R2291_num5,16.749157,63154.263,954.7568499
R2291_num6,14.432797,51291.3578,1012.998513
R2292_num2,9.604728,71680.8445,482.3746294
R2292_num3,16.749157,63154.263,954.7568499
R2293_num2,9.604728,71680.8445,482.3746294
R2293_num3,16.749157,63154.263,954.7568499
R2293_num4,14.432797,51291.3578,1012.998513
R2295_num2,9.604728,71680.8445,482.3746294
R2295_num3,16.749157,63154.263,954.7568499
R2296_num2,9.604728,71680.8445,482.3746294
R2296_num3,16.749157,63154.263,954.7568499
R2297_num2,43.925686,31882.117,4959.911213
R2303_num2,50.390297,74534.4095,2433.843247
R2303_num3,24.873175,74764.1495,1197.678708
R2303_num4,24.52343,111592.9578,791.128309
R2303_num5,23.00769,60482.8329,1369.441212
R2304_num2,9.604728,71680.8445,482.3746294
R2304_num3,16.749157,63154.263,954.7568499
R2305_num2,43.925686,31882.117,4959.911213
R2306_num2,58.37444,32541.3933,6457.866818
R2307_num2,13.19973,74216.7311,640.2737940000002
R2309_num2,47.939342,32557.2953,5300.858981
R2309_num3,56.762417000000006,34049.2685,6001.44174
R2320_num2,13.611628,58537.1191,837.1074892999999
R2327_num2,41.31132,33117.2131,4490.7387450000015
R2379_num2,43.293755,62102.9405,2509.664063
R2381_num2,25.103369,58315.081,1549.72139
R2382_num2,47.939342,32557.2953,5300.858981
R2383_num2,8.52613,59363.6565,517.0515061000001
R2383_num3,15.931247,57873.4025,990.9990898
R2383_num4,9.604728,71680.8445,482.3746294
R2383_num5,14.868904999999998,63484.0593,843.1732089999998
R2383_num6,5.965004,61867.5318,347.0966721000001
R2383_num7,6.737126400000001,59302.8606,408.9795129
R2383_num8,16.749157,63154.263,954.7568499
R2383_num9,14.010107,57970.514,870.0351561000001
R2384_num2,13.611628,58537.1191,837.1074892999999
R2547_num2,76.444405,54081.1729,5088.644407
R2547_num3,39.71175,97225.7448,1470.4160949999996
R2547_num4,23.176517,47753.7472,1747.202389
R2547_num5,47.47773,105300.4521,1623.163287
R2547_num6,132.67581,81550.5713,5856.892335000001
R2547_num7,130.97343,84108.1366,5605.930259000002
R2547_num8,22.589848,97051.6949,837.9395423
R2547_num9,72.02591,77530.0808,3344.421589
R2547_num10,44.73351,95059.1055,1694.1105760000007
R2554_num2,6.4155354,35127.1998,657.4941234
R2554_num3,7.313609,36352.4457,724.2701803
R2563_num2,5.750931,44005.0571,470.4766444
R2563_num3,5.750674,43775.6776,472.9207527
R2604_num2,12.309729,58559.2606,756.7551903
R2609_num2,82.200066,61229.7715,4832.946953
R10_reverse_num2,129.40146,40239.807,11576.7269
R10_reverse_num3,16.749157,42520.3445,1418.073299
R10_reverse_num4,25.090437,38301.1519,2358.29913
R10_reverse_num5,14.010107,40479.8233,1245.963571
R10_reverse_num6,87.74231,38968.4109,8105.85571
R10_reverse_num7,4.7136407,29481.5155,575.5846072
R10_reverse_num8,156.50865,37374.569,15075.25451
R10_reverse_num9,59.630615,40963.8569,5240.478564
R10_reverse_num10,15.781053,37521.2851,1514.121669
R12_reverse_num2,32.55778,41504.6986,2823.969622
R12_reverse_num3,34.25992,28984.3634,4255.249988000001
R26_reverse_num2,4.370775,102277.133,153.8446526
R27_reverse_num2,4.370775,102277.133,153.8446526
R42_reverse_num2,37.540367,27748.7802,4870.315748
R43_reverse_num2,18.043922,60349.7924,1076.360276
R53_reverse_num2,9.912241,54667.993,652.7414972
R53_reverse_num3,13.17645,49420.9074,959.8209037
R62_reverse_num2,13.968276,39078.8603,1286.777383
R68_reverse_num2,4.2587714000000005,50098.4986,306.0286729
R80_reverse_num2,56.18396,40963.8569,4937.578424
R81_reverse_num2,7.750178,38528.5491,724.1549825000002
R97_reverse_num2,12.712082,17999.3212,2542.512281
R98_reverse_num2,12.498099,33319.5744,1350.352074
R98_reverse_num3,1.6118948,29492.4009,196.7564899
R98_reverse_num4,7.63205,36352.4457,755.8055441
R98_reverse_num5,17.514437,96378.0151,654.2153118
R98_reverse_num6,8.187933000000001,36572.3784,805.9787219
R98_reverse_num7,9.234713,46213.6639,719.3752668
R101_reverse_num2,20.312933,26602.201,2748.891297
R130_reverse_num2,14.090375,102684.5755,493.9919141
R131_reverse_num2,11.439924,102684.5755,401.0702308000001
R158_reverse_num2,596.2263,36793.9769,58336.0338
R158_reverse_num3,47.47773,81764.1098,2090.401625
